[2026-05-27T01:55:02.644+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crime_analytics_pipeline.ingest_chicago_crime manual__2026-05-26T19:50:14.211656+00:00 [queued]>
[2026-05-27T01:55:02.655+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crime_analytics_pipeline.ingest_chicago_crime manual__2026-05-26T19:50:14.211656+00:00 [queued]>
[2026-05-27T01:55:02.655+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 3
[2026-05-27T01:55:02.669+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): ingest_chicago_crime> on 2026-05-26 19:50:14.211656+00:00
[2026-05-27T01:55:02.680+0000] {standard_task_runner.py:60} INFO - Started process 3088 to run task
[2026-05-27T01:55:02.685+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'crime_analytics_pipeline', 'ingest_chicago_crime', 'manual__2026-05-26T19:50:14.211656+00:00', '--job-id', '118', '--raw', '--subdir', 'DAGS_FOLDER/dag_crime_pipeline.py', '--cfg-path', '/tmp/tmpbeyn5ilq']
[2026-05-27T01:55:02.689+0000] {standard_task_runner.py:88} INFO - Job 118: Subtask ingest_chicago_crime
[2026-05-27T01:55:02.770+0000] {task_command.py:423} INFO - Running <TaskInstance: crime_analytics_pipeline.ingest_chicago_crime manual__2026-05-26T19:50:14.211656+00:00 [running]> on host 93e8dbfc6168
[2026-05-27T01:55:02.872+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='cdash-alerts@example.com' AIRFLOW_CTX_DAG_OWNER='crime-analytics' AIRFLOW_CTX_DAG_ID='crime_analytics_pipeline' AIRFLOW_CTX_TASK_ID='ingest_chicago_crime' AIRFLOW_CTX_EXECUTION_DATE='2026-05-26T19:50:14.211656+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-26T19:50:14.211656+00:00'
[2026-05-27T01:55:03.792+0000] {ingest_chicago_crime.py:212} INFO - FULL LOAD mode: 2001-01-01 → 2026-05-27
[2026-05-27T01:55:05.539+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-01] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:20.112+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-03] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:20.402+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-04] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:20.887+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-05] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:21.370+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-06] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:22.093+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-07] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:22.532+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-08] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:23.306+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-09] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:24.514+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-10] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:26.853+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-11] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:27.305+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-12] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:27.554+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-13] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:27.819+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-14] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:28.060+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-15] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:28.494+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-16] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:28.810+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-17] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:29.069+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-18] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:29.388+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-19] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:29.676+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-20] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:29.965+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-21] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:30.254+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-22] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:30.658+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-23] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:31.032+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-24] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:31.321+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-25] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:31.600+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-26] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:32.079+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-27] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:32.367+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-28] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:32.657+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-01] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:32.945+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-02] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:33.330+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-03] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:33.617+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-04] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:34.162+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-05] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:34.418+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-06] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:34.688+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-07] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:34.963+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-08] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:35.216+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-09] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:35.548+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-10] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:35.825+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-11] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:36.118+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-12] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:36.510+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-13] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:36.789+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-14] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:37.261+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-15] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:37.586+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-16] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:37.837+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-17] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:38.090+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-18] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:39.381+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-19] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:39.657+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-20] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:40.119+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-21] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:41.044+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-22] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:41.314+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-23] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:41.593+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-24] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:42.515+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-25] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:42.790+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-26] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:43.713+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-27] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:43.989+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-28] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:44.542+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-29] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:44.911+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-30] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:45.187+0000] {ingest_chicago_crime.py:103} INFO - [2001-03-31] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:45.806+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-01] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:46.108+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-02] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:46.577+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-03] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:46.846+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-04] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:47.122+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-05] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:47.399+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-06] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:47.676+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-07] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:47.951+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-08] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:48.228+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-09] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:48.506+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-10] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:48.874+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-11] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:49.150+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-12] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:49.427+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-13] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:49.795+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-14] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:50.071+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-15] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:50.344+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-16] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:50.625+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-17] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:50.900+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-18] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:51.177+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-19] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:51.454+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-20] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:51.730+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-21] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:52.007+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-22] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:52.283+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-23] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:52.569+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-24] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:52.805+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-25] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:53.115+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-26] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:53.410+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-27] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:53.679+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-28] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:54.001+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-29] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:54.305+0000] {ingest_chicago_crime.py:103} INFO - [2001-04-30] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:54.787+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-01] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:55.574+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-02] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:56.918+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-03] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:59.173+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-04] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:59.468+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-05] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:59.763+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-06] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:00.750+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-07] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:01.042+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-08] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:01.338+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-09] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:02.321+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-10] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:02.616+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-11] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:03.111+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-12] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:03.884+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-13] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:04.320+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-14] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:04.560+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-15] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:04.807+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-16] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:05.251+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-17] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:05.713+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-18] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:06.004+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-19] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:06.851+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-20] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:07.202+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-21] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:07.478+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-22] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:07.755+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-23] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:08.034+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-24] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:08.493+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-25] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:08.928+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-26] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:09.229+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-27] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:09.506+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-28] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:09.782+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-29] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:10.242+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-30] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:10.704+0000] {ingest_chicago_crime.py:103} INFO - [2001-05-31] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:10.980+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-01] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:11.256+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-02] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:11.533+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-03] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:12.455+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-04] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:12.732+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-05] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:13.653+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-06] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:14.851+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-07] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:15.404+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-08] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:16.049+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-09] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:16.586+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-10] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:17.249+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-11] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:17.800+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-12] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:18.444+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-13] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:18.929+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-14] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:19.735+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-15] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:20.113+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-16] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:21.051+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-17] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:21.333+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-18] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:22.269+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-19] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:22.554+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-20] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:23.493+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-21] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:23.775+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-22] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:24.808+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-23] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:25.184+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-24] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:26.030+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-25] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:26.406+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-26] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:27.293+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-27] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:27.684+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-28] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:28.558+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-29] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:31.642+0000] {ingest_chicago_crime.py:103} INFO - [2001-06-30] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:32.529+0000] {ingest_chicago_crime.py:103} INFO - [2001-07-01] _SUCCESS marker exists, skipping.
[2026-05-27T01:56:32.827+0000] {ingest_chicago_crime.py:103} INFO - [2001-07-02] _SUCCESS marker exists, skipping.
